Authors	Title	Year	Type	Source	Publisher	ArticleURL	Volume	Issue	StartPage	EndPage
A Staudt	Webspinnen–Araneida auf dem Gelände der ehemaligen Grube Reden	2006	Article	Delattinia		https://delattinia.de/sites/default/files/pdf/abhandlungen/Delattinia_Abh_30_2006_155-162_Staudt.pdf	30	NA	155	161
C Gack, A Kobel-Lamparski	Zum Vorkommen von Atypus affinis und Atypus piceus (Araneae: Atypidae) auf einer Sukzessionsfläche im flurbereinigten Rebgelände des Kaiserstuhls	2006	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM31_08_15.pdf	31	NA	8	15
MIPPS BEIKES, G BADINO	Catalogo ragionato dei ragni (Arachnida, Araneae) del Piemonte e della Lombardia	2007	Article	MEMORIE DELL’ASSOCIAZIONE NATURALISTICA PIEMONTESE		https://www.researchgate.net/profile/Marco-Isaia/publication/289372691_Catalogo_ragionato_dei_ragni_ArachnidaAraneae_del_Piemonte_e_della_Lombardia/links/568be01c08ae8445f58dbe22/Catalogo-ragionato-dei-ragni-Arachnida-Araneae-del-Piemonte-e-della-Lombardia.pdf	9	NA	1	148
R Feldmann	Die Wespenspinne, Argiope bruennichi (Scopoli, 1772), im mittleren Westfalen: Daten zum aktuellen Bestand und zur Biologie eines Neubürgers	2007	Article	Natur und Heimat		https://www.lwl.org/wmfn-download/natur_und_heimat/nh_67_2007.pdf	67	NA	3	7
I Hajdamowicz, M Stańska, M Zalewski…	Emblyna brevidens (Araneae: Dictynidae) in the Mazurian Lake District (NE Poland)–rediscovered in Poland	2007	Article	Arachnologische Mitteilungen: Arachnology Letters		https://www.researchgate.net/profile/Marcin-Zalewski-2/publication/232724766_Emblyna_brevidens_Araneae_Dictynidae_in_the_Mazurian_Lake_District_NE_Poland_-_rediscovered_in_Poland/links/0912f5090fbc0bb6d4000000/Emblyna-brevidens-Araneae-Dictynidae-in-the-Mazurian-Lake-District-NE-Poland-rediscovered-in-Poland.pdf	33	NA	21	24
C Hörweg	Europäische Spinne des Jahres 2007	2007	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/aramit/pdf/Heft_32/AM32_47_48.pdf	32	NA	47	48
K Van Keer	Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species	2007	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://araneae.nmbe.ch/pdfs/34143_Van_Keer_2007_NieuwsbrBelgArachnolVer_22_2_p45-54_Exotic_Araneae_Belgium.pdf	22	2	45	54
KH Kielhorn	Neu- und Wiederfunde von Webspinnen (Araneae) in Berlin und Brandenburg	2007	Article	Märkische Entomologische Nachrichten		https://www.zobodat.at/pdf/Maerkische-Ent-Nachr_2007_1_0099-0108.pdf	9	1	99	108
M Schmitt	Notizen zu einigen allochthonen und synanthropen Spinnen (Arachnida: Araneae) aus Essen	2007	Article	Elektronische Aufsätze der Biologischen Station Westliches Ruhrgebiet		https://www.bswr.de/downloads/Elektronische_Publikationen_BSWR/BSWR_EP11_2007_Schmitt_Allochthone_und_synanthrope_Spinnen_aus_Essen.pdf	11	NA	1	12
I Hajdamowicz, P Jastrzębski	Threats to a rare European spider species, Tetragnatha reimoseri (Araneae: Tetragnathidae), and fishponds as an alternate habitat	2007	Article	Nature Conservation		http://www3.uph.edu.pl/images/pdf/Izabela_Hajdamowicz/2007%20Hajdamowicz%20Jastrzebski.pdf	64	NA	31	37
D GLOOR, A HÄNGGI, A BOLZERN	11 Spinnentiere	2008	Book chapter	Vielfalt zwischen den Gehegen: wildlebende Tiere und Pflanzen im Zoo Basel		https://www.researchgate.net/profile/Angelo-Bolzern/publication/237101093_Arachnida_Spinnentiere/links/0c96051b871f14ceff000000/Arachnida-Spinnentiere.pdf	NA	NA	213	232
KH Kielhorn	A glimpse of the tropics–spiders (Araneae) in the greenhouses of the Botanic Garden Berlin-Dahlem	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM36_26_34.pdf	36	NA	26	34
M Hepner, N Milasowszky, MA Strodl	Beiträge zur Spinnen-und Laufkäferfauna Wiens (Arachnida, Araneae; Coleoptera, Carabidae): Untersuchungen einer Wiese und einer Ruderalfläche im …	2008	Article	Beiträge zur Entomofaunistik		https://www.oegef.at/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdk1GIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2f0e46f1430cf23095ae546389239d94757c3937/BEF_9_0051-0065.pdf	9	NA	51	65
M Lemke	Bemerkenswerte Spinnenfunde (Araneae) aus Schleswig-Holstein der Jahre 2004 bis 2007	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://www.researchgate.net/profile/Martin-Lemke-3/publication/269868864_Bemerkenswerte_Spinnenfunde_Araneae_aus_Schleswig-Holstein_der_Jahre_2004_bis_2007/links/54abc5e90cf25c4c472fa71f/Bemerkenswerte-Spinnenfunde-Araneae-aus-Schleswig-Holstein-der-Jahre-2004-bis-2007.pdf	35	NA	45	50
R ROZWAŁKA	Cinetata gradata (Simon, 1881) (Araneae: Linyphiidae) - the new spider for Poland	2008	Article	Polish Journal of Entomology		https://sparrow.up.poznan.pl/pte/ppe/PJE_2008/10_Rozwalka.pdf	77	NA	75	78
K Lambeets	De spinnenfauna (Araneae) van de grindoevers langsheen de Nederlandse zijde van de Grensmaas	2008	Article	Nieuwsbrief SPINED		https://natuurtijdschriften.nl/pub/541550	25	NA	4	17
M Schmitt	Erstnachweis der Wolfspinne Alopecosa barbipes (Araneae: Lycosidae) in Nordrhein-Westfalen	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM36_01_03.pdf	36	NA	1	3
H Frick	First record of Hypsocephalus dahli in Switzerland with a review of its distribution, ecology and taxonomy (Araneae, Linyphiidae)	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM35.pdf#page=37	35	NA	35	44
OD Finch, T Blick, A Schuldt	Macroecological patterns of spider species richness across Europe	2008	Article	Biodiversity and Conservation		https://link.springer.com/article/10.1007/s10531-008-9400-x	17	NA	2849	2868
J Hammel, M Nickel	Pardosa hyperborea (Araneae: Lycosidae): A first report from Disko Island (West Greenland), with remarks on the biogeography of the species	2008	Article	Entomologiske Meddelelser		https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://samlinger.snm.ku.dk/digitale-ressourcer/research-files/entomologiske-meddelelser/bind-76/hammel__j._u.___m._nickel__2008.pdf&ved=2ahUKEwjQntGDr9uQAxWIwAIHHW7ZCU04bhAWegQIFhAB&usg=AOvVaw2vdry1Ag9HCW_JzPe7D_SW	76		41	47
R Rozwalka	Pocadicnemis carpatica (Chyzer, 1894)(Araneae: Linyphiidae)-a new species of spider to the fauna of Poland	2008	Article	Annales Universitatis Mariae Curie-Sklodowska		https://www.researchgate.net/profile/Robert-Rozwalka/publication/247885266_Pocadicnemis_carpatica_Chyzer_1894_Araneae_Linyphiidae_-_nowy_gatunek_pajaka_we_florze_Polski/links/59762674aca2728d027039d0/Pocadicnemis-carpatica-Chyzer-1894-Araneae-Linyphiidae-nowy-gatunek-pajaka-we-florze-Polski.pdf	68	1	130	132
W WESOŁOWSKA, R ROZWAŁKA	Pseudeuophrys lanigera (SIMON, 1871), new species of jumping spider (Araneae, Salticidae) for Poland	2008	Article	Polish Journal of Entomology		https://sparrow.up.poznan.pl/pte/ppe/PJE_2008/04_Wesolowska_Rozwalka.pdf	77	NA	39	41
P Bezděčka	Seznam sekáčů (Opiliones) České republiky [Checklist of harvestmen (Opiliones) of the Czech Republic]	2008	Article	Klapalekiana		https://mndi.museunacional.ufrj.br/aracnologia/pdfliteratura/Bezdecka%202008c%20-%20Seznam%20sekac.pdf	44	NA	109	120
S Buchholz	Spider fauna of semi-dry grasslands on a military training base in Northwest Germany (Munster)	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/aramit/pdf/Heft_35/AM35_51_60.pdf	35	NA	51	60
L Pfiffner	Spinnen ökologischer Ausgleichsflächen in den Schweizer Kantonen Aargau und Schaffhausen (Arachnida: Araneae)–mit Anmerkungen zu Phrurolithus …	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM35_01_12.pdf	35	NA	1	12
M Schmitt	Wo die wilden Kerle wohnen: Vogelspinnenverwandtschaft (Atypus affinis, Araneae) im Ruthertal zwischen Werden und Kettwig (Essen)	2008	Article	Elektronische Aufsätze der Biologischen Station Westliches Ruhrgebiet		https://bswr.de/downloads/Elektronische_Publikationen_BSWR/BSWR_EP12_2008_Schmitt_Vogelspinnenverwandschaft__Atypus_affinis.pdf	12	NA	1	9
C Muster, A Herrmann, S Otto, D Bernhard	Zur Ausbreitung humanmedizinisch bedeutsamer Dornfinger-Arten Cheiracanthium mildei und C. punctorium in Sachsen und Brandenburg (Araneae …	2008	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM35_13_20.pdf	35	NA	13	20
M Olthoff, P Leopold, K Hannig, C Schmidt, K Wittjen	„Störungen“ auf dem Truppenübungsplatz Haltern-Borkenberge und deren Bedeutung für ausgewählte Tier- und Pflanzenarten	2009	Article	Abhandlungen aus dem Westfälischen Museum für Naturkunde		https://naturschutzzentrum-coesfeld.de/cms-files/stoerungsregime-borkenberge_olthoff-leopold-ha.pdf	71	3	487	512
A Werno, D Weber	„Zillas Felsenkeller “in Nunkirchen (Saarland), ein künstlicher Hohlraum mit herausragender Evertebratenfauna	2009	Article	Abhandlungen der Delattinia		https://delattinia2016.delattinia.de/sites/default/files/pdf/abhandlungen/Delattinia_Abh_34_2008_139-146_Werno.pdf	34	NA	139	146
M Hepner, C Hörweg, N Milasowszky	Bibliographische Checkliste der Spinnen (Araneae) Wiens	2009	Article	Ann. Naturhis. Mus. Wien		https://www.jstor.org/stable/41767453	111	NA	61	83
E Delfosse, E Iorio	Contribution à la connaissance des Opilions de France métropolitaine (Arachnida: Opiliones). I	2009	Article	Bulletin de la Société Linnéenne de Bordeaux		https://www.researchgate.net/profile/Etienne-Iorio/publication/317959263_Contribution_a_la_connaissance_des_Opilions_de_France_metropolitaine_Arachnida_Opiliones_I/links/5953d6c4a6fdcc16978933cc/Contribution-a-la-connaissance-des-Opilions-de-France-metropolitaine-Arachnida-Opiliones-I.pdf	37	1	99	106
C Hörweg	Die Gartenkreuzspinne, Araneus diadematus (Araneae: Araneidae), Spinne des Jahres 2010	2009	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM38_45_47.pdf	38	NA	45	47
T Blick	Die Spinnen (Araneae) des Naturwaldreservats Goldbachs-und Ziebachsrück (Hessen). Untersuchungszeitraum 1994-1996	2009	Article	Mitteilungen der Hessischen Landesforstverwaltung		http://www.callistus.de/pdf_theo/Blick_78_Goldbach-Ziebach_1_Araneae.pdf	45	NA	57	138
N Milasowszky, G Dutzler-Stark	Die Spinnenfauna (Arachnida: Araneae) einer Niedermoorwiese am Gleinkersee (Österreich: Oberösterreich: Roßleithen)	2009	Article	Beiträge zur Naturkunde Oberösterreichs		https://www.land-oberoesterreich.gv.at/files/naturschutz_db/BNO_0017_0367-0375.pdf	17	NA	367	375
S Buchholz, M Kreuels	Die Webspinnen (Arachnida: Araneae) des Naturschutzgebietes Heiliges Meer	2009	Article	Abhandlungen aus dem Westfälischen Museum für Naturkunde		https://www.lwl.org/wmfn-download/Abhandlungen/Abh_71(4)2009_Seite_189-202.pdf	71	4	189	201
M KREUELS	Die Webspinnen (Arachnida: Araneae) des Naturwaldreservates „Laangmuer “	2009	Book chapter	Zoologische und botantische Untersuchungen 2007- 2008: Laangmuer	environnement.public.lu	https://environnement.public.lu/dam-assets/fr/forets/publications/rfi_laangmuer_bd5/RFI_05_Laangmuer_LR.pdf#page=59	NA	NA	116	121
R Bosmans	Een herziene soortenlijst van de Belgische spinnen (Araneae)	2009	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://www.researchgate.net/profile/Robert-Bosmans/publication/367253544_Een_herziene_soortenlijst_van_de_Belgische_spinnen_Araneae/links/545208580cf24884d8873044/Een-herziene-soortenlijst-van-de-Belgische-spinnen-Araneae.pdf	24	NA	33	58
H De Koninck	Enoplognatha oelandica (Thorell, 1875), een nieuwe spinnensoort voor Nederland	2009	Article	Nieuwsbrief SPINED		https://natuurtijdschriften.nl/pub/541558/SPIN2009026001002.pdf	26	NA	3	4
M Lemke	Nachweis fünf neuer Webspinnenarten (Araneae) für Schleswig-Holstein und Anmerkungen zu seltenen Arten in Niedersachsen	2009	Article	Arachnologische Mitteilungen: Arachnology Letters		https://www.researchgate.net/profile/Martin-Lemke-3/publication/47619359_First_records_of_five_spider_species_Araneae_in_Schleswig-Holstein_and_remarks_on_species_rarely_found_in_Lower_Saxony_Germany/links/540c09e90cf2d8daaac71b4b/First-records-of-five-spider-species-Araneae-in-Schleswig-Holstein-and-remarks-on-species-rarely-found-in-Lower-Saxony-Germany.pdf	38	NA	28	32
KH Kielhorn	Neu- und Wiederfunde von Webspinnen (Araneae) in Berlin und Brandenburg, Teil 2	2009	Article	Märkische Entomologische Nachrichten		https://www.zobodat.at/pdf/Maerkische-Ent-Nachr_2009_1_0101-0116.pdf	11	1	101	116
D Harms, JA Dunlop, K Schütt	Neue nachweise der gerandeten wasserspinne Dolomedes plantarius in Brandenburg (Araneae: Pisauridae)	2009	Article	Arachnologische Mitteilungen: Arachnology Letters		https://pdfs.semanticscholar.org/0716/6d4e6d56b9ed2a2792a59d9f62ab7e7e7ac8.pdf	37	NA	1	8
R Rozwalka	New data on the distribution of Pellenes nigrociliatus (L. KOCH, 1875)(Araneae: Salticidae) in Poland	2009	Article	Annales Universitatis Mariae Curie-Sklodowska		http://dlibra.umcs.lublin.pl/Content/26538/PDF/czas4053_64_1_2009_9.pdf	64	1	117	121
H Frick, P Muff	Revision of the genus Caracladus with the description of Caracladus zamoniensis spec. nov.(Araneae, Linyphiidae, Erigoninae)	2009	Article	Zootaxa		https://www.researchgate.net/profile/Holger-Frick-2/publication/237642696_Revision_Of_The_Genus_Caracladus_With_The_Description_Of_Caracladus_Zamoniensis_Spec_Nov_Araneae_Linyphiidae_Erigoninae/links/543e999a0cf21c84f23b65c6/Revision-Of-The-Genus-Caracladus-With-The-Description-Of-Caracladus-Zamoniensis-Spec-Nov-Araneae-Linyphiidae-Erigoninae.pdf	1982	1	1	37
S Buchholz	Spider assemblages in an inland dune complex of Northwest Germany	2009	Article	DROSERA		http://oops.uni-oldenburg.de/id/eprint/2074		NA	63	76
M Kreuels	Spinne des Jahres 2009	2009	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM36_46_48.pdf	36	NA	46	48
OD Finch	Stephen Dalton (2009): Spinnen–Die erfolgreichen Jäger [Rezension]	2009	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM38_38_40.pdf	38	NA	38	40
I HAJDAMOWICZ	Tetragnatha shoshone LEVI, 1981, a new spider species of longjawed orbweavers (Araneae, Tetragnathidae) in Poland	2009	Article	Polish Journal of Entomology		http://www3.uph.edu.pl/images/pdf/Izabela_Hajdamowicz/2009%20Hajdamowicz.pdf	78	NA	169	175
PJ van Helsdingen	Uit andere bladen. Nieuwe vindplaats van Labulla thoracica (Wider)	2009	Article	Nieuwsbrief SPINED		https://natuurtijdschriften.nl/pub/541564/SPIN2009026001008.pdf	26	NA	15	
K Lambeets	Voorkomen, ecologie en fenologie van de Grindwolfspin [Arctosa cinerea (Fabricius, 1777), Lycosidae] langsheen de Grensmaas	2009	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://belgianspiders.be/wp-content/uploads/2016/12/Nwsbr-241-2-3.pdf	24	NA	21	32
ЭФ Мельничнова, АВ Беспятых	Арахнофауна Республики Татарстан по результатам исследований 2004-2008 гг. Разработка и создание сайта «Фауна пауков Республики Татарстан …	2009	Article	Ученые записки Казанского …		https://cyberleninka.ru/article/n/arahnofauna-respubliki-tatarstan-po-rezultatam-issledovaniy-2004-2008-gg-razrabotka-i-sozdanie-sayta-fauna-paukov-respubliki-tatarstan	151	2	162	172
A Ssymank, C Muster	Anthrenochernes stellae Lohmander, 1939–ein Pseudoskorpion des Anhangs II der FFH-Richtlinie neu für das Saarland	2010	Article	Delattinia		https://www.delattinia.de/sites/default/files/pdf/abhandlungen/Delattinia_Abh_36_2010_387-392_Ssymank.pdf	36	NA	387	392
D Barndt	Beitrag zur Arthropodenfauna ausgewählter Binnensalzstellen in Brandenburg	2010	Article	Naturschutz und Landschaftspflege in Brandenburg		https://www.orion-berlin.de/verein/bibl/barndt/barndt_binnensalz.pdf	19	NA	34	44
H Arnaud	Deuxième localité connue pour Atypus piceus Sulzer, 1776 (Araneae; Atypidae), une mygale typiquement thermophile	2010	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://www.africamuseum.be/publication_docs/2010-Henrard-Atypus%20piceus.pdf	25	2	114	119
M Stanska, R Rozwalka, K Kowalczyk	Dipoena torva [Thorell, 1875]-gatunek pajaka zwiazany z pniami drzew	2010	Article	Leśne Prace Badawcze		https://bibliotekanauki.pl/articles/45893.pdf	71	2	201	205
R Rozwalka, P Sienkiewicz…	Distribution of Lacinius dentiger (CL Koch, 1847)(Arachnida: Opiliones) in Poland	2010	Article	Annales Universitatis Mariae Curie-Sklodowska		http://dlibra.umcs.lublin.pl/Content/26528/czas4053_65_2_2010_7.pdf	65	2	67	72
S Buchholz	Diversity and distribution of spiders (Arachnida: Araneae) in dry ecosystems of North Rhine-Westphalia (Germany)	2010	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM38_08_27.pdf	38	NA	8	27
R Rozwalka, P Sienkiewicz	First record of Odiellus spinosus (BOSC, 1792)(Arachnida: Opiliones) in Poland	2010	Article	Annales Universitatis Mariae Curie-Sklodowska		https://www.researchgate.net/profile/Robert-Rozwalka/publication/271052420_First_record_of_Odiellus_spinosus_Bosc_1792_Arachnida_Opiliones_in_Poland/links/59763ab60f7e9b4016bc42a0/First-record-of-Odiellus-spinosus-Bosc-1792-Arachnida-Opiliones-in-Poland.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail	65	1	107	112
K Van Keer, P Oger, M Maingeot	First record of Sibianor larae Logunov 2001 (Araneae: Salticidae) for Belgium	2010	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://www.researchgate.net/profile/Koen-Van-Keer-2/publication/280878292_First_record_of_Sibianor_larae_Logunov_2001_Araneae_Salticidae_for_Belgium/links/55c9d81e08aeca747d67ea74/First-record-of-Sibianor-larae-Logunov-2001-Araneae-Salticidae-for-Belgium.pdf	25	1	46	49
R Rozwalka, J Stachowicz	Holocnemus pluchei (Scopoli, 1763)-new for Poland introduced species of pholcid spider (Araneae: Pholcidae)	2010	Article	Annales Universitatis Mariae Curie-Sklodowska		http://archive.sciendo.com/UMCSBIO/umcsbio.2010.65.issue-2/v10067-011-0016-2/v10067-011-0016-2.pdf	65	2	73	78
J Lambrechts, M Janssen	Monitoring van de spinnenfauna op het ecoduct Kikbeek in Maasmechelen	2010	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://belgianspiders.be/wp-content/uploads/2016/12/Nwsbr-251.pdf	25	1	1	15
K Van Keer, H Vanuytven, H De Koninck…	More than one third of the Belgian spider fauna (Araneae) found within the city of Antwerp: faunistics and some reflections on urban ecology	2010	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://www.researchgate.net/profile/Koen-Van-Keer-2/publication/260302429_More_than_one_third_of_the_Belgian_spider_fauna_Araneae_found_within_the_city_of_Antwerp_faunistics_and_some_reflections_on_urban_ecology/links/5654530b08ae1ef929768c45/More-than-one-third-of-the-Belgian-spider-fauna-Araneae-found-within-the-city-of-Antwerp-faunistics-and-some-reflections-on-urban-ecology.pdf	25	2	160	180
G Gabriel	Nesticodes rufipes–Erstnachweis einer pantropischen Kugelspinne in Deutschland (Araneae: Theridiidae)	2010	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM39.pdf#page=41	39	NA	39	41
P Bezděčka	První prokázaný nález sekáče Platybunus pinetorum v České republice	2010	Article	Západočeské entomologické listy		https://entolisty.cz/wp-content/uploads/2021/07/01-06-Bezdecka.pdf	1	NA	32	33
T Blick	Spider coenoses in strict forest reserves in Hesse (Germany)	2010	Article	Proceedings of the 24th European Congress of Arachnology		http://www.callistus.de/pdf_theo/Blick_85_EuropArachnol2008.pdf	NA	NA	11	29
P Lukeš	Vliv ochranných pásů v polních biotopech na epigeické druhy pavouků	2010	Thesis	UNIVERZITA PALACKÉHO V OLOMOUCI	theses.cz	https://theses.cz/id/9ygmh6/127045-482289682.pdf	NA	NA	1	44
WHO Dorow, T Blick	Weitere Tiergruppen im Naturwaldreservat Goldbachs-und Ziebachsrück (Hessen). Untersuchungszeitraum 1994-1996	2010	Article	Naturwaldreservate in Hessen		https://www.zobodat.at/pdf/Naturwaldreservate-in-Hessen_11_2_2_0001-0270.pdf#page=220	11	NA	57	138
E Énekesová, A Šestáková, Z Krumpálová	A first record of Glyphesis taoplesius (Linyphiidae, Araneae) from Slovakia	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM42_16_20.pdf	42	NA	16	20
T Blick	Abundant and rare spiders on tree trunks in German forests (Arachnida, Araneae)	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://pdfs.semanticscholar.org/2237/112a31549b42037a7d5ca981eeb8feb20783.pdf	40	NA	5	14
KH Kielhorn	Bemerkenswerte Spinnenfunde aus Sachsen-Anhalt (Arachnida: Araneae)	2011	Article	Entomologische Zeitschrift		https://araneae.nmbe.ch/pdfs/17453_Kielhorn_2011_EntZ_121_5_p231-237_Araneae_Sachsen-Anhalt_Germany.pdf	121	5	231	237
S Buchholz, M Kreuels, A Kronshage…	Bycatches of ecological field studies: bothersome or valuable?	2011	Article	Methods in Ecology and Evolution		https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.2041-210X.2010.00051.x	2	1	99	102
J Esser	Dendrochernes cyrneus (Arachnida: Pseudoscorpiones: Chernetidae) in Brandenburg	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/aramit/pdf/Heft_42/AM42_12_15.pdf	42	NA	12	15
C Hörweg, T Blick, S Zaenker	Die Große Höhlenspinne Meta menardi (LATREILLE, 1804)–Höhlentier des Jahres und Europäische Spinne des Jahres 2012	2011	Article	Mitteilungen des Verbandes der deutschen Höhlen-und Karstforscher		https://www.researchgate.net/profile/Theo-Blick/publication/236952676_Die_Grosse_Hohlenspinne_Meta_menardi_Latreille_1804_-_Hohlentier_des_Jahres_und_Europaische_Spinne_des_Jahres_2012_The_large_cave_spider_Meta_menardi_Latreille_1804_Cave_animal_of_the_year_and_Europea/links/02e7e51a6227daec1c000000/Die-Grosse-Hoehlenspinne-Meta-menardi-Latreille-1804-Hoehlentier-des-Jahres-und-Europaeische-Spinne-des-Jahres-2012-The-large-cave-spider-Meta-menardi-Latreille-1804-Cave-animal-of-the-year-and-Eu.pdf	57	4	108	109
M Hepner, N Milasowszky…	Die Spinnenfauna (Arachnida: Araneae) stillgelegter Abbauflächen in einem Steinbruch in Bad Deutsch-Altenburg (Österreich: Niederösterreich)	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://pdfs.semanticscholar.org/83f6/27c34e60fdc0a7d28023e4041445f79718b0.pdf#page=31	42	NA	29	47
O Nedvěd, S Pekár, P Bezděčka, E Líznarová, M Řezáč…	Ecology of Arachnida alien to Europe	2011	Article	BioControl		https://link.springer.com/article/10.1007/s10526-011-9385-3	56	NA	539	550
D Martin	Erstnachweise der synanthropen Spinnenarten Steatoda grossa für Sachsen sowie Nesticodes rufipes und Uloborus plumipes für Mecklenburg-Vorpommern …	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/aramit/pdf/Heft_42/AM42.pdf#page=23	42	NA	21	22
R Rozwalka, S Lysiak	First record of the Improphantes geniculatus (Kulczynski, 1898)(Araneae, Linyphiidae) in Poland	2011	Article	Zeszyty Naukowe. Acta Biologica. Uniwersytet Szczeciński 		https://bibliotekanauki.pl/articles/841676.pdf	18	NA	131	135
J Schirmel, L Timler, S Buchholz	Impact of the invasive moss Campylopus introflexus on carabid beetles (Coleoptera: Carabidae) and spiders (Araneae) in acidic coastal dunes at the southern Baltic …	2011	Article	Biological invasions		https://link.springer.com/article/10.1007/s10530-010-9852-2	13	NA	605	620
P Bezděčka, K Bezděčková	Leiobunum limbatum–nový sekáč (Opiliones) pro Slovensko	2011	Article	Folia faunistica Slovaca		https://mndi.museunacional.ufrj.br/Aracnologia/pdfliteratura/Bezdecka%20&%20Bezdeckova%202011%20-%20L%20limbatum%20new%20SK.pdf	16	1	31	34
R ROZWAŁKA	Micaria dives (Araneae: Gnaphosidae)–nowy gatunek pająka dla araneofauny Polski	2011	Article	Chrońmy Przyr. Ojcz.		https://panel.iop.krakow.pl/uploads/wydawnictwa_artykuly/ab02d44eab1947b7d25cddb0c5e275563b14b521.pdf	67	6	575	579
CJ Vink, N Dupérré	Nesticus eremita (Araneae: Nesticidae): redescription of a potentially invasive European spider found in New Zealand	2011	Article	The Journal of Arachnology		https://bioone.org/journals/the-journal-of-arachnology/volume-39/issue-3/A11-57.1/Nesticus-eremita-Araneae--Nesticidae--redescription-of-a-potentially/10.1636/A11-57.1.short	39	3	511	514
H Wijnhoven	Notes on the biology of the unidentified invasive harvestman Leiobunum sp.(Arachnida: Opiliones)	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM41_17_30.pdf	41	NA	17	30
L Baert, R Kekenbosch	Oreonetides quadridentatus (Wunderlich, 1972) (Araneae : Linyphiidae, Linyphiinae), espèce nouvelle pour l’aranéofaune belge	2011	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://belgianspiders.be/wp-content/uploads/2016/12/Nwsbr-271.pdf	27	1	43	46
S Buchholz, J Schirmel	Spinnen (Araneae) in Küstendünenheiden der Insel Hiddensee (Mecklenburg-Vorpommern)	2011	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM41_07_16.pdf	41	NA	7	16
R Rozwalka	Steatoda triangulosa (Walckenaer, 1802)(Araneae: Theridiidae) in Poland	2011	Article	Zeszyty Naukowe. Acta Biologica. Uniwersytet Szczeciński 		https://yadda.icm.edu.pl/agro/element/bwmeta1.element.agro-59f2e9a9-7e7d-4da9-ac9e-a8a319a1de10	18	NA	143	147
M Oleszczuk, I Hajdamowicz, M Stańska	The distribution and habitat preferences of an extremely rare European spider, Glyphesis taoplesius (Araneae: Linyphiidae)	2011	Article	Entomologica Fennica		https://journal.fi/entomolfennica/article/view/4240	22	1	15	20
P Bezděčka, K Bezděčková, M Holec, A Roušar	Trogulus closanicus - a new harvestmen (Arachnida: Opiliones) for Czech Republic	2011	Article	Klapalekiana		https://mndi.museunacional.ufrj.br/aracnologia/pdfliteratura/Bezdecka%20et%20al%202011%20-%20T%20closanicus%20new%20CZ.pdf	47	NA	1	3
