Authors	Title	Year	Type	Source	Publisher	ArticleURL	Volume	Issue	StartPage	EndPage
WP Polzin	Beobachtungen zu einigen bemerkenswerten Webspinnen (Araneae) aus den Jahren 2020 bis 2023 in Mecklenburg-Vorpommern	2024	Article	Virgo		https://www.entomologie-mv.de/wp-content/uploads/2024_virgo_27_web.pdf	27	NA	67	77
KH Kielhorn, T Förster	Checkliste der Spinnen (Araneae) Thüringens	2024	Article	Checkliste Thüringer Insekten und Spinnentiere		https://www.researchgate.net/publication/380638147_Checkliste_der_Spinnen_Araneae_Thuringens_April_2024	31		5	31
W Braunstein	Die Große Jagdspinne Dolomedes plantarius Clerck 1757 am Panzergraben bei Steinfeld - eine arachnologische Seltenheit aus einer hochinteressanten Spinnenfamilie	2024	Article	Pollichia Kurier		https://www.pollichia.de/images/publikationen/kurier/Kurier_2024-4_Aufloesung-verringert.pdf	40	4	24	30
T Engel, S Chowdhury, M Friedrichs-Manthey…	Digitalisierung in Citizen Science und Naturschutz–Anwendungsbeispiele aus der Praxis	2024	Article	Natur und Landschaft		https://oulurepo.oulu.fi/handle/10024/51289	98	6	319	329
T Bauer, H Höfer, J Schirmel	Dry grasslands in urban areas can harbour arthropod species of local conservation concern and should be prioritised for biodiversity‐friendly mowing regimes	2024	Article	Insect Conservation and Diversity	Wiley Online Library	https://resjournals.onlinelibrary.wiley.com/doi/abs/10.1111/icad.12746	17	5	811	825
R Rozwałka, G Kolago	First record of Eresus sandaliatus (Martini et Goeze, 1778)(Araneae: Eresidae) in Poland	2024	Article	Fragmenta Faunistica		https://rcin.org.pl/miiz/dlibra/publication/edition/244187	67	2	107	111
A HENRARD, G LOGGHE, L BRONNE, N SMITZ, M VANDERBERKEN, A ATTAQUE, KVAN KEER	First record of Nigma puella (Simon, 1870) in Belgium, validated by genetic identification (Araneae, Dictynidae)	2024	Article	Journal of the Belgian Arachnological Society	NA	https://www.researchgate.net/profile/Arnaud-Henrard/publication/388485326_First_record_of_Nigma_puella_Simon_1870_in_Belgium_validated_by_genetic_identification_Araneae_Dictynidae/links/679a42b08311ce680c41bb2f/First-record-of-Nigma-puella-Simon-1870-in-Belgium-validated-by-genetic-identification-Araneae-Dictynidae.pdf	39	2	103	115
A Kopetz, E Anton, R Bellstedt, D Krebs, M Müller, A Weigel	Gemeinschaftsexkursion des Thüringer Entomologenverbandes e.V. (TEV) 2024 in das Gebiet der "Herbstlebener Teiche" im Thüringer Becken (Unstrut-Hainich-Kreis)	2024	Article	Mitteilungen des Thüringer Entomologenverbandes		https://www.thrips-id.com/en/wp-content/uploads/sites/5/2024/11/TEV-31-Bericht-Gemeinschaftsexkursion.pdf	31	2	120	213
K van Keer, C Hörweg	Holenspin (Nesticus cellulanus (Clerck, 1757) is 20ste Europese Spin van het jaar	2024	Article	Journal of the Belgian Arachnological Society		https://belgianspiders.be/wp-content/uploads/2024/09/JBAS-39-1-2024.pdf	39		21	25
M Isermann, W Rabitsch, S Nehring	In Deutschland wild lebende Archäobiota und deren Status im Naturschutz	2024	Report	BfN Schriften	Bundesamt für Naturschutz	https://bfn.bsz-bw.de/files/1898/Schrift710.pdf	710		1	228
